"FIPS_COUNTY","FIPS_STATE","USUAL_FOOD_SPEND","TOTAL_FOOD_SPEND_LAST_WEEK","FOOD_NEED_MORE","FOOD_SPEND_INCREASE_WEEK","RECEIVED_SNAP","NOT_AFFORD_BALANCED_MEALS"
"019","04",130,130,3,-1,-1,-1
"019","04",130,130,3,-1,-1,-1
"021","04",80,190,2,-1,-1,-1
"021","04",250,480,2,-1,-1,-1
"021","04",250,480,2,-1,-1,-1
"000","04",50,50,3,-1,1,2
"025","04",100,0,1,50,2,1
"025","04",100,0,1,50,2,1
"025","04",0,200,1,100,-1,-1
"025","04",0,200,1,100,-1,-1
"025","04",230,230,2,-1,-1,-1
"025","04",230,230,2,-1,-1,-1
"025","04",130,130,3,-1,-1,-1
"025","04",130,130,3,-1,-1,-1
"027","04",250,180,1,200,-1,3
"027","04",250,180,1,200,-1,3
"027","04",250,180,1,200,-1,3
"027","04",250,180,1,200,-1,3
"027","04",250,180,1,200,-1,3
"027","04",-1,-1,-1,-1,-1,-1
"000","05",50,110,2,-1,2,3
"000","05",300,190,3,-1,2,3
"000","05",300,190,3,-1,2,3
"000","05",100,80,2,-1,2,3
"000","05",100,80,2,-1,2,3
"000","05",70,10,3,-1,-1,-1
"000","05",70,10,3,-1,-1,-1
"000","05",350,350,2,-1,2,2
"000","05",350,350,2,-1,2,2
"000","05",350,350,2,-1,2,2
"000","05",350,350,2,-1,2,2
"000","05",350,350,2,-1,2,2
"000","05",350,350,2,-1,2,2
"000","05",130,30,3,-1,-1,-1
"000","05",150,90,2,-1,-1,-1
"000","05",200,260,2,-1,2,3
"000","05",200,260,2,-1,2,3
"000","05",50,50,2,-1,2,3
"000","05",130,0,3,-1,2,3
"000","05",30,100,3,-1,2,3
"000","05",-1,-1,-1,-1,-1,-1
"000","05",150,100,1,50,2,2
"000","05",150,100,1,50,2,2
"000","05",150,100,1,50,2,2
"000","05",150,100,1,50,2,2
"000","05",120,110,3,-1,-1,-1
"000","05",120,110,3,-1,-1,-1
"000","05",330,20,1,70,1,3
"000","05",330,20,1,70,1,3
"000","05",330,20,1,70,1,3
"000","05",100,250,3,-1,1,3
"000","05",100,250,3,-1,1,3
